project_id,url,title,category,beneficiary,project_value_raw,project_value,eu_funding_raw,eu_funding,wojewodztwo,powiat,program,dzialanie,fundusz,perspektywa
1699531,https://mapadotacji.gov.pl/projekty/1699531/,G1.3.2 Zeroemisyjny transport zbiorowy (autobusy) - schemat 1 z JW,"ochrona środowiska, transport",Ministerstwo Klimatu i Środowiska,"4 303 937 168,00 zł",4303937168.0,"3 378 590 677,00 zł",3378590677.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,12.10. G1.3.2 Zeroemisyjny transport zbiorowy (autobusy),Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1681140,https://mapadotacji.gov.pl/projekty/1681140/,C4.1.1 Wsparcie transformacji cyfrowej przedsiębiorstw z wykorzystaniem chmury obliczeniowej,,Ministerstwo Cyfryzacji,"2 806 570 000,00 zł",2806570000.0,"2 806 570 000,00 zł",2806570000.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,6.6. C4.1.1 Wspieranie zaawansowanej transformacji cyfrowej,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670448,https://mapadotacji.gov.pl/projekty/1670448/,"A4.2.1 Wsparcie programów dofinansowania miejsc opieki nad dziećmi 0-3 lat (żłobki, kluby dziecięce) w ramach MALUCH+",,Ministerstwo Rodziny i Polityki Społecznej,"3 259 021 740,00 zł",3259021740.0,"2 733 766 740,00 zł",2733766740.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,"1.25. A4.2.1 Wsparcie placówek opieki nad dziećmi w wieku do trzech lat (żłobki, kluby dziecięce) w ramach programu MALUCH+",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1757692,https://mapadotacji.gov.pl/projekty/1757692/,Realizacja G3.2.1 Budowa infrastruktury gazu ziemnego w celu zapewnienia bezpieczeństwa energetycznego,,Bank Gospodarstwa Krajowego,"2 724 272 732,00 zł",2724272732.0,"2 724 272 732,00 zł",2724272732.0,kujawsko-pomorskie,pomorskie,Krajowy Plan Odbudowy i Zwiększania Odporności,13.6. G3.2.1 Budowa infrastruktury gazu ziemnego w celu zapewnienia bezpieczeństwa energetycznego,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670472,https://mapadotacji.gov.pl/projekty/1670472/,C2.1.2. Wyrównanie poziomu wyposażenia szkół w przenośne urządzenia multimedialne - inwestycje związane ze spełnieniem minimalnych standardów sprzętowych,nauka i edukacja,Ministerstwo Cyfryzacji,"2 548 326 151,00 zł",2548326151.0,"2 548 326 151,00 zł",2548326151.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,5.7. C2.1.2. Wyrównanie poziomu wyposażenia szkół w przenośne urządzenia multimedialne - inwestycje związane ze spełnieniem minimalnych standardów sprzętowych,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1674610,https://mapadotacji.gov.pl/projekty/1674610/,Budowa obwodnic miejscowości na sieci dróg krajowych zarządzanych przez Generalną Dyrekcją Dróg Krajowych i Autostrad,transport,Generalna Dyrekcja Dróg Krajowych i Autostrad,"2 466 477 144,44 zł",2466477144.44,"2 000 000 000,00 zł",2000000000.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,9.11. E2.2.1. Inwestycje w bezpieczeństwo transportu,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1736502,https://mapadotacji.gov.pl/projekty/1736502/,E1.1-4. Wzrost wykorzystania transportu przyjaznego dla środowiska - Wsparcie zakupu pojazdów zeroemisyjnych - MKiŚ (inwestycja),,Ministerstwo Klimatu i Środowiska,"1 960 739 966,25 zł",1960739966.25,"1 613 777 750,00 zł",1613777750.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,9.14. E1.1-4. Wzrost wykorzystania transportu przyjaznego dla środowiska - Wsparcie zakupu pojazdów zeroemisyjnych - MKiŚ (inwestycja),Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1746326,https://mapadotacji.gov.pl/projekty/1746326/,Efektywność energetyczna i OZE w przedsiębiorstwach – inwestycje o największym potencjale redukcji gazów cieplarnianych (B1.2.1).,,Ministerstwo Aktywów Państwowych,"1 340 190 000,00 zł",1340190000.0,"1 340 190 000,00 zł",1340190000.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,4.2. B1.2.1. Efektywność energetyczna i OZE w przedsiębiorstwach – inwestycje o największym potencjale redukcji gazów cieplarnianych,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670466,https://mapadotacji.gov.pl/projekty/1670466/,B3.3.1. Inwestycje w zwiększanie potencjału zrównoważonej gospodarki wodnej na obszarach wiejskich,ochrona środowiska,Ministerstwo Rolnictwa i Rozwoju Wsi,"1 587 991 131,00 zł",1587991131.0,"1 291 049 700,00 zł",1291049700.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,4.12. B3.3.1. Inwestycje w zwiększanie potencjału zrównoważonej gospodarki wodnej na obszarach wiejskich,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670492,https://mapadotacji.gov.pl/projekty/1670492/,Prace na linii kolejowej nr 38 na odcinku Giżycko – Korsze wraz z elektryfikacją,transport,PKP Polskie Linie Kolejowe S.A.,"1 583 222 441,23 zł",1583222441.23,"1 288 636 131,08 zł",1288636131.08,warmińsko-mazurskie,giżycki,Krajowy Plan Odbudowy i Zwiększania Odporności,9.7. E2.1.1. Linie kolejowe,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1757687,https://mapadotacji.gov.pl/projekty/1757687/,Rozbudowa systemu przesyłowego Polski w zakresie linii 400 kV,,Polskie Sieci Elektroenergetyczne,"1 560 646 312,04 zł",1560646312.04,"1 268 818 139,87 zł",1268818139.87,dolnośląskie,łódzkie,Krajowy Plan Odbudowy i Zwiększania Odporności,"12.7. G1.2.3 Rozwój sieci przesyłowych, inteligentna infrastruktura elektroenergetyczna",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670470,https://mapadotacji.gov.pl/projekty/1670470/,B3.5.1 Inwestycje w energooszczędne budownictwo mieszkaniowe dla gospodarstw domowych o niskich i średnich dochodach,,Ministerstwo Rozwoju i Technologii,"2 777 252 277,00 zł",2777252277.0,"1 097 350 800,00 zł",1097350800.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,4.16. B3.5.1. Inwestycje w energooszczędne mieszkania dla gospodarstw domowych o niskich i średnich dochodach,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1736181,https://mapadotacji.gov.pl/projekty/1736181/,e-Zdrowie KPO,,Centrum e-Zdrowia,"1 256 200 000,00 zł",1256200000.0,"1 048 202 861,45 zł",1048202861.45,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,7.3. D1.1.2. Przyspieszenie procesów transformacji cyfrowej ochrony zdrowia poprzez dalszy rozwój usług cyfrowych w ochronie zdrowia,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670460,https://mapadotacji.gov.pl/projekty/1670460/,B1.1.5 Poprawa efektywności energetycznej w budynkach mieszkalnych wielorodzinnych,,Ministerstwo Rozwoju i Technologii,"1 119 069 812,16 zł",1119069812.16,"1 036 175 752,00 zł",1036175752.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,3.4. B1.1.5 Poprawa efektywności energetycznej w budynkach mieszkalnych wielorodzinnych,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1709911,https://mapadotacji.gov.pl/projekty/1709911/,Utworzenie terminala instalacyjnego offshore w porcie Gdańsk przez Istrana Sp. z o. o.,ochrona środowiska,Istrana Sp. z.o.o.,"1 177 836 642,00 zł",1177836642.0,"900 449 716,11 zł",900449716.11,pomorskie,m. Gdańsk,Krajowy Plan Odbudowy i Zwiększania Odporności,3.13. B2.2.3. Budowa infrastruktury terminalowej offshore,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670196,https://mapadotacji.gov.pl/projekty/1670196/,A1.3.1. Wdrożenie reformy planowania i zagospodarowania przestrzennego,rewitalizacja,Ministerstwo Rozwoju i Technologii,"1 102 301 625,09 zł",1102301625.09,"896 180 183,00 zł",896180183.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,1.6. A1.3.1. Wdrożenie reformy planowania i zagospodarowania przestrzennego,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670462,https://mapadotacji.gov.pl/projekty/1670462/,B3.1.1. Inwestycje w zrównoważoną gospodarkę wodno-ściekową na terenach wiejskich,ochrona środowiska,Ministerstwo Rolnictwa i Rozwoju Wsi,"1 083 180 863,10 zł",1083180863.1,"880 634 848,05 zł",880634848.05,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,3.15. B3.1.1. Inwestycje w zrównoważoną gospodarkę wodno-ściekową na terenach wiejskich,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1757689,https://mapadotacji.gov.pl/projekty/1757689/,"Wzmocnienie systemu przesyłowego poprzez budowę, rozbudowę i modernizację stacji elektroenergetycznych w północnej i centralnej części Polski",,Polskie Sieci Elektroenergetyczne,"1 004 301 350,99 zł",1004301350.99,"816 505 163,41 zł",816505163.41,mazowieckie,pomorskie,Krajowy Plan Odbudowy i Zwiększania Odporności,"12.7. G1.2.3 Rozwój sieci przesyłowych, inteligentna infrastruktura elektroenergetyczna",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1721468,https://mapadotacji.gov.pl/projekty/1721468/,"B2.1.1. Inwestycje w technologie wodorowe, wytwarzanie, magazynowanie i transport wodoru - NFOŚiGW (schemat 1 z JW)",ochrona środowiska,Ministerstwo Klimatu i Środowiska,"885 372 032,59 zł",885372032.59,"716 304 734,00 zł",716304734.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,"3.8. B2.1.1-1/2 Inwestycje w technologie wodorowe, wytwarzanie, magazynowanie i transport wodoru - NFOŚiGW",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1705696,https://mapadotacji.gov.pl/projekty/1705696/,Poprawa bezpieczeństwa ruchu drogowego na sieci dróg krajowych zarządzanych przez Generalną Dyrekcję Dróg Krajowych i Autostrad - Kamień Milowy 2,transport,Generalna Dyrekcja Dróg Krajowych i Autostrad,"1 096 733 050,63 zł",1096733050.63,"702 936 521,69 zł",702936521.69,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,9.11. E2.2.1. Inwestycje w bezpieczeństwo transportu,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1757630,https://mapadotacji.gov.pl/projekty/1757630/,Prace na linii kolejowej nr 143,transport,PKP Polskie Linie Kolejowe S.A.,"599 349 711,18 zł",599349711.18,"487 276 187,95 zł",487276187.95,dolnośląskie,opolskie,Krajowy Plan Odbudowy i Zwiększania Odporności,9.7. E2.1.1. Linie kolejowe,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670456,https://mapadotacji.gov.pl/projekty/1670456/,"2.6 A2.6.1-2/2. Inwestycja - Rozbudowa krajowego systemu serwisów monitoringowych, produktów, narzędzi analitycznych i usług i towarzyszącej infrastruktury wykorzystujących dane satelitarne - MON",administracja,Ministerstwo Obrony Narodowej,"596 478 143,40 zł",596478143.4,"484 941 580,00 zł",484941580.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,"2.6. A2.6.1-2/2. Inwestycja - Rozbudowa krajowego systemu serwisów monitoringowych, produktów, narzędzi analitycznych i usług i towarzyszącej infrastruktury wykorzystujących dane satelitarne - MON",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1674614,https://mapadotacji.gov.pl/projekty/1674614/,Digitalizacja infrastruktury kolejowej poprzez zabudowę nowoczesnych urządzeń i systemów - etap I,transport,PKP Polskie Linie Kolejowe S.A.,"553 670 998,14 zł",553670998.14,"447 311 648,16 zł",447311648.16,lubelskie,małopolskie,Krajowy Plan Odbudowy i Zwiększania Odporności,9.12. E2.2.2. Cyfryzacja transportu,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1687061,https://mapadotacji.gov.pl/projekty/1687061/,Modernizacja linii kolejowej nr 97 na odcinku Żywiec - Sucha Beskidzka,transport,PKP Polskie Linie Kolejowe S.A.,"523 611 000,00 zł",523611000.0,"425 700 000,00 zł",425700000.0,małopolskie,śląskie,Krajowy Plan Odbudowy i Zwiększania Odporności,9.7. E2.1.1. Linie kolejowe,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1670452,https://mapadotacji.gov.pl/projekty/1670452/,A2.5.1 Program wspierania działalności podmiotów sektora kultury i przemysłów kreatywnych na rzecz stymulowania ich rozwoju,kultura i sztuka,Ministerstwo Kultury i Dziedzictwa Narodowego,"522 004 005,00 zł",522004005.0,"424 393 500,00 zł",424393500.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,2.2. A2.5.1. Program wspierania działalności podmiotów sektora kultury i przemysłów kreatywnych na rzecz stymulowania ich rozwoju,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1691577,https://mapadotacji.gov.pl/projekty/1691577/,"""Zakup 14 sztuk Elektrycznych Zespołów Trakcyjnych I""",transport,"Spółka ""Koleje Mazowieckie-KM"" sp. z o.o.","607 719 251,16 zł",607719251.16,"411 600 000,00 zł",411600000.0,łódzkie,lubelskie,Krajowy Plan Odbudowy i Zwiększania Odporności,9.8. E2.1.2. Pasażerski tabor kolejowy,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1705563,https://mapadotacji.gov.pl/projekty/1705563/,B1.1.1. Inwestycje w źródła ciepła w systemach ciepłowniczych - schemat 1,energetyka,Ministerstwo Klimatu i Środowiska,"486 000 000,00 zł",486000000.0,"400 000 000,00 zł",400000000.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,3.2. B1.1.1. Inwestycje w źródła ciepła w systemach ciepłowniczych,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1757623,https://mapadotacji.gov.pl/projekty/1757623/,Prace na linii kolejowej nr 1 na odcinkach: Koluszki – Częstochowa oraz Zawiercie – Dąbrowa Górnicza,transport,PKP Polskie Linie Kolejowe S.A.,"480 195 202,37 zł",480195202.37,"390 402 603,55 zł",390402603.55,łódzkie,śląskie,Krajowy Plan Odbudowy i Zwiększania Odporności,9.7. E2.1.1. Linie kolejowe,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1695245,https://mapadotacji.gov.pl/projekty/1695245/,Centrum Kompetencji Mikroelektronika i Fotonika,"badania, rozwój, innowacje",Sieć Badawcza Łukasiewicz - Instytut Mikroelektroniki i Fotoniki,"519 681 492,83 zł",519681492.83,"369 971 890,19 zł",369971890.19,mazowieckie,m.st. Warszawa,Krajowy Plan Odbudowy i Zwiększania Odporności,1.18. A2.4.1-1/2. Inwestycje w rozbudowę potencjału badawczego - MNiSW,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1736174,https://mapadotacji.gov.pl/projekty/1736174/,Cyberbezpieczny Rząd,"administracja, bezpieczeństwo",Centrum Projektów Polska Cyfrowa,"367 548 422,00 zł",367548422.0,"367 500 000,00 zł",367500000.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,"5.10. C3.1.1-2/2. Cyberbezpieczeństwo – CyberPL, infrastruktura przetwarzania danych oraz optymalizacja infrastruktury służb państwowych odpowiedzialnych za bezpieczeństwo - MC",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1677664,https://mapadotacji.gov.pl/projekty/1677664/,Prace na linii kolejowej 148 na odc. Pszczyna - Żory,transport,PKP Polskie Linie Kolejowe S.A.,"442 800 000,00 zł",442800000.0,"360 000 000,00 zł",360000000.0,śląskie,m. Żory,Krajowy Plan Odbudowy i Zwiększania Odporności,9.7. E2.1.1. Linie kolejowe,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1736506,https://mapadotacji.gov.pl/projekty/1736506/,Zakup niskopodłogowego taboru tramwajowego w celu usprawnienia i poprawy jakości komunikacji zbiorowej w Krakowie – część IV i V,,Miejskie Przedsiębiorstwo Komunikacyjne Spółka Akcyjna w Krakowie,"508 479 779,85 zł",508479779.85,"351 356 850,00 zł",351356850.0,małopolskie,m. Kraków,Krajowy Plan Odbudowy i Zwiększania Odporności,10.2. E1.2.1. Zeroemisyjny transport zbiorowy w miastach (tramwaje),Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1757381,https://mapadotacji.gov.pl/projekty/1757381/,Cyberbezpieczne Wodociągi,"administracja, bezpieczeństwo",Centrum Projektów Polska Cyfrowa - KPO,"328 556 057,00 zł",328556057.0,"328 500 000,00 zł",328500000.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,"5.10. C3.1.1-2/2. Cyberbezpieczeństwo – CyberPL, infrastruktura przetwarzania danych oraz optymalizacja infrastruktury służb państwowych odpowiedzialnych za bezpieczeństwo - MC",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1691575,https://mapadotacji.gov.pl/projekty/1691575/,"""Zakup 11 sztuk Elektrycznych Zespołów Trakcyjnych I""",transport,"Spółka ""Koleje Mazowieckie-KM"" sp. z o.o.","473 772 251,16 zł",473772251.16,"323 400 000,00 zł",323400000.0,łódzkie,mazowieckie,Krajowy Plan Odbudowy i Zwiększania Odporności,9.8. E2.1.2. Pasażerski tabor kolejowy,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1681122,https://mapadotacji.gov.pl/projekty/1681122/,"HoReCa POMORZE - dofinansowanie przedsięwzięć realizowanych przez mikro-, małe i średnie przedsiębiorstwa prowadzące działalność w sektorze hotelarstwa, gastronomii, turystyki lub kultury w ramach Inwestycji A1.2.1 KPO z regionu nr 1 obejmującego województwa kujawsko-pomorskie, pomorskie i zachodniopomorskie",rozwój firm,Polska Fundacja Przedsiębiorczości,"379 828 389,57 zł",379828389.57,"311 209 203,29 zł",311209203.29,kujawsko-pomorskie,pomorskie,Krajowy Plan Odbudowy i Zwiększania Odporności,"1.3. A1.2.1. Inwestycje dla przedsiębiorstw w produkty, usługi i kompetencje pracowników oraz kadry związane z dywersyfikacją działalności",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1681118,https://mapadotacji.gov.pl/projekty/1681118/,"Zwiększenie odporności, konkurencyjności i innowacyjności przedsiębiorstw MŚP, działających w branżach HoReCa i kultury na terenach obszaru województw mazowieckiego, podlaskiego i warmińsko-mazurskiego w formie udzielenia pomocy finansowej na przedsięwzięcia dywersyfikacji działalności, poprzez instrumenty- granty z Krajowego Planu Odbudowy i Zwiększenia Odporności, komponent A Odporność i konkurencyjność gospodarki, Działanie: A1.2.1. Inwestycje dla przedsiębiorstw w produkty, usługi i kompetencje pracowników oraz kadry związane z dywersyfikacją działalności.",rozwój firm,Towarzystwo Inwestycji Społeczno-Ekonomicznych S.A. ( TISE S.A.),"372 978 816,88 zł",372978816.88,"305 990 032,93 zł",305990032.93,mazowieckie,m.st. Warszawa,Krajowy Plan Odbudowy i Zwiększania Odporności,"1.3. A1.2.1. Inwestycje dla przedsiębiorstw w produkty, usługi i kompetencje pracowników oraz kadry związane z dywersyfikacją działalności",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1735346,https://mapadotacji.gov.pl/projekty/1735346/,Telemetryzacja odbiorców w 3 grupie taryfowej,rozwój firm,Polska Spółka Gazownictwa spółka z ograniczoną odpowiedzialnością,"860 089 800,00 zł",860089800.0,"299 076 000,00 zł",299076000.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,1.11. A2.1.1. Inwestycje wspierające robotyzację i cyfryzację w przedsiębiorstwach,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1691573,https://mapadotacji.gov.pl/projekty/1691573/,"""Zakup 10 sztuk Elektrycznych Zespołów Trakcyjnych""",transport,"Spółka ""Koleje Mazowieckie-KM"" sp. z o.o.","430 666 901,16 zł",430666901.16,"294 000 000,00 zł",294000000.0,łódzkie,mazowieckie,Krajowy Plan Odbudowy i Zwiększania Odporności,9.8. E2.1.2. Pasażerski tabor kolejowy,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1757626,https://mapadotacji.gov.pl/projekty/1757626/,Poprawa bezpieczeństwa na przejazdach kolejowych – etap VII,transport,PKP Polskie Linie Kolejowe S.A.,"356 103 277,97 zł",356103277.97,"289 514 860,14 zł",289514860.14,dolnośląskie,kujawsko-pomorskie,Krajowy Plan Odbudowy i Zwiększania Odporności,9.7. E2.1.1. Linie kolejowe,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1674612,https://mapadotacji.gov.pl/projekty/1674612/,Poprawa bezpieczeństwa ruchu drogowego na sieci dróg krajowych zarządzanych przez Generalną Dyrekcję Dróg Krajowych i Autostrad,transport,Generalna Dyrekcja Dróg Krajowych i Autostrad,"348 788 303,16 zł",348788303.16,"283 015 708,00 zł",283015708.0,projekt ogólnopolski,,Krajowy Plan Odbudowy i Zwiększania Odporności,9.11. E2.2.1. Inwestycje w bezpieczeństwo transportu,Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
1681120,https://mapadotacji.gov.pl/projekty/1681120/,"Nowe inwestycje w sektorze HoReCa – wsparcie dla mikro, małych i średnich przedsiębiorstw z regionu nr 3 tj. województwa małopolskiego, lubelskiego, podkarpackiego oraz świętokrzyskiego w ramach Inwestycji A1.2.1 KPO.",rozwój firm,Rzeszowska Agencja Rozwoju Regionalnego S.A.,"326 858 295,90 zł",326858295.9,"268 503 189,02 zł",268503189.02,lubelskie,małopolskie,Krajowy Plan Odbudowy i Zwiększania Odporności,"1.3. A1.2.1. Inwestycje dla przedsiębiorstw w produkty, usługi i kompetencje pracowników oraz kadry związane z dywersyfikacją działalności",Instrument na rzecz Odbudowy i Zwiększania Odporności,2021 - 2027
